"County","2-24-25","2-25-25","2-28-25","3-4-25","3-7-25","3-11-25","3-14-25","3-18-25","3-21-25","3-25-25","3-28-25"
"Andrews",0,0,0,0,0,0,0,0,0,0,1
"Cochran",0,0,0,0,0,0,6,1,0,0,1
"Dallam",0,4,0,0,1,0,1,0,0,0,1
"Dawson",6,1,1,1,0,1,1,0,2,0,1
"Ector",1,1,0,0,0,0,0,0,0,0,2
"Erath",0,0,0,0,0,0,0,0,0,0,1
"Gaines",57,23,18,9,30,19,18,17,20,15,44
"Garza",0,0,0,0,0,0,0,0,1,0,0
"Hale",0,0,0,0,0,0,0,0,1,0,0
"Harris",0,0,0,2,0,0,0,1,0,0,0
"Hockley",0,0,0,0,0,0,0,0,1,0,1
"Lamar",0,0,0,0,0,0,4,3,0,0,3
"Lamb",0,0,0,0,0,0,0,0,0,1,0
"Lubbock",1,0,1,1,0,0,1,1,3,2,13
"Lynn",1,0,1,0,0,0,0,0,0,-1,0
"Martin",0,3,0,0,0,0,0,0,0,0,0
"Midland",0,0,0,0,0,0,0,0,1,0,0
"Rockwall",0,0,0,1,0,0,0,0,0,0,0
"Terry",20,1,0,1,7,3,4,0,1,0,1
"Travis",0,0,0,1,0,0,0,0,0,0,0
"Yoakum",4,1,1,1,1,2,1,0,1,1,2
"Total",90,34,22,17,39,25,36,23,31,18,71
