"","County","Type","2025-03-11","2025-03-14","2025-03-18","2025-03-21","2025-03-25","2025-03-28","2025-03-07","2025-04-01","2025-04-11","2025-04-15","2025-04-18","2025-04-22","2025-04-25","2025-04-29","2025-04-04","2025-05-13","2025-05-16","2025-05-02","2025-05-20","2025-05-23","2025-05-06","2025-05-09"
"1","Andrews","ob",0,0,0,0,0,1,0,1,1,2,2,2,3,3,1,3,3,3,3,3,3,3
"2","Andrews","sum",0,0,0,0,0,1,0,1,1,2,2,2,3,3,1,3,3,3,3,3,3,3
"3","Atascosa","non-ob",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1
"4","Atascosa","ob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5","Atascosa","sum",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,1,1
"6","Bailey","ob",0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2
"7","Bailey","sum",0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2
"8","Borden","ob",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"9","Borden","sum",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"10","Brazoria","non-ob",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"11","Brazoria","sum",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"12","Brewster","ob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13","Brewster","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14","Brown","ob",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","Brown","sum",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","Carson","ob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"17","Carson","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"18","Cochran","ob",0,6,7,7,7,8,0,8,11,12,12,12,14,14,9,14,14,14,14,14,14,14
"19","Cochran","sum",0,6,7,7,7,8,0,8,11,12,12,12,14,14,9,14,14,14,14,14,14,14
"20","Collin","non-ob",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
"21","Collin","ob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"22","Collin","sum",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,2,2,1,1
"23","Dallam","ob",5,6,6,6,6,7,5,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7
"24","Dallam","sum",5,6,6,6,6,7,5,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7
"25","Dawson","ob",10,11,11,13,13,14,9,14,21,21,24,23,25,25,20,26,26,26,26,26,26,26
"26","Dawson","sum",10,11,11,13,13,14,9,14,21,21,24,23,25,25,20,26,26,26,26,26,26,26
"27","Denton","non-ob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
